ハルタで新連載「ラブ考」&「めんや」始動、付録は「ハクミコ」絵本,緒方波子「ラブ考」、柴田康平「めんや」の新連載2本が、本日8月10日発売のハルタVol.47（KADOKAWA）にてスタートした。緒方...
『FE無双』ティアモのアクショントレイラーが公開―ペガサスナイトのアクションはかなり爽快！,『FE無双』ティアモのアクショントレイラーが公開―ペガサスナイトのアクションはかなり爽快！https://youtu.be/L4mm8...
L・ウィザースプーン&J・アニストン、朝の情報番組の裏側を描く新ドラマで共演,"L・ウィザースプーン＆J・アニストン、朝の情報番組の裏側を描く新ドラマで共演 （C）AFLO＜画像を拡大する＞
　海外ドラマ『フレンズ..."
居場所を失った音楽家たちと食堂のオーナー夫婦が協力、韓国発のドキュメンタリー配信,韓国のインディーズミュージシャンたちに焦点を当てた「パーティー51」の有料配信が、本日8月10日より映画会社UPLINKの映像配信サー...
セラミュー最終章が9月8日開幕、終演後のスペシャルライブは過去最多6曲,武内直子原作によるミュージカル「美少女戦士セーラームーン」の新作公演「ミュージカル『美少女戦士セーラームーン』-Le Mouvemen...
【FGO】ジャンヌオルタ・サンタリリィがねんどろいど化、ツン顔や叫び顔が付属,グッドスマイルカンパニーより、ゲームアプリ『Fate/Grand Order』のキャラクター「ランサー/ジャンヌ・ダルク・オルタ・サン...
30歳独身ニート女性のネトゲライフを描く「ネト充のススメ」能登麻美子主演でTVアニメ化！,スマートフォン向け漫画アプリ「comico」で連載中の黒曜燐氏による漫画「ネト充のススメ」がテレビアニメ化され、10月9日から放送を開...
ジャームッシュ監督自作の詩を公開 日常のきらめきを見つめる「パターソン」本編映像,"ジム・ジャームッシュ監督の最新作「パターソン」の本編映像が、公開された。主人公が詩人の少女と出会うシーンを切り取っている。
　「沈黙　..."
G大阪・藤本 今季絶望...右十字靭帯断裂で全治8カ月,"Ｇ大阪の元日本代表ＭＦ藤本淳吾（３２）が今季絶望となった。クラブは９日、右十字靭帯断裂で全治８カ月と発表した。
　藤本は５日の敵地・甲..."
女子野球、アサヒトラスト8年ぶり2度目V 新人・清水がMVP,"２度目の日本一に歓喜のアサヒトラストナイン

　「伊予銀行杯・全日本女子硬式野球選手権」（１０日、松山・マドンナスタジアム他）　準決勝..."
伊代表、ヴェントゥーラ監督と2020年まで契約延長...就任後10試合で7勝,イタリアサッカー協会（FIGC）は9日、イタリア代表を率いるジャンピエロ・ヴェントゥーラ監督との契約を、2020年まで2年延長したと発...
セ・リーグ公示(10日)=プロ野球,【出場選手登録】▽ヤクルト・村中恭兵投手▽中日・八木智哉投手　【同抹消】▽ヤクルト・梅野雄吾投手▽中日・杉山翔大捕手（再登録は２０日以...
チェルシー、バルサのセルジ・ロベルト獲得へ...マンUなどが関心か,チェルシーがバルセロナに所属するスペイン代表MFセルジ・ロベルトの獲得に向けて本格的に動き出しているようだ。イギリス紙『エクスプレス』...
開星「甲子園の空気にのまれた」主将も足つり完敗,"力投する開星・中村優真（撮影・栗木一考）＜全国高校野球選手権：花咲徳栄９－０開星＞◇１０日◇１回戦

　開星（島根）が花咲徳栄に０－９..."
ヤクルト村中ら登録、楽天塩見ら抹消／10日公示,"ヤクルト村中恭兵（２０１７年６月３０日撮影）　２０１７年８月１０日のプロ野球の出場選手登録と抹消は以下の通り。
【セ・リーグ】
＜登録..."
錦織、不安募る敗戦=勝てない今季を象徴-ロジャーズ杯テニス,モンフィスに逆転負けした錦織圭＝９日、カナダ・モントリオール（ＡＦＰ＝時事）　【モントリオール（カナダ）時事】２８日に開幕するテニスの...
姫路の参戦取りやめ=バレーボール,日本バレーボールリーグ機構は１０日、プロチームのヴィクトリーナ姫路のチャレンジリーグ女子（２部相当）への参戦が取りやめになったと発表し...
10日の公示 オリックスが平野を登録 中日杉山、ヤクルト梅野が抹消,オリックス・平野佳久【写真：編集部】オリックスは山田を抹消、楽天は塩見を抹消　10日のプロ野球公示で、オリックスが平野佳寿投手を出場選...
オリックス・平野、ソフトB・中田を登録、楽天・塩見が抹消 10日のプロ野球公示,"オリックスの平野佳寿

　ソフトバンクは10日、中田賢一を一軍選手登録した。
　中田は今季ここまで13試合に登板し、5勝6敗、防御率5..."
秀岳館、あす横浜戦へ気合「鍛治舎監督を日本一に」,"４季連続甲子園出場の秀岳館（熊本）は１０日、大阪市内で約２時間練習し１１日第２試合の横浜（神奈川）戦に備えた。
　シート打撃やマシン打..."
日本航空石川・上田が決勝打「正直、少し怖かった」,９回表日本航空石川２死一、三塁、左前適時打を放つ上田（撮影・鈴木みどり）＜全国高校野球選手権：日本航空石川６－５木更津総合＞◇１０日◇...
コンテ監督、選手層の薄さを嘆く「新しいMFを探さなくては」,チェルシーを指揮するアントニオ・コンテ監督が、セルビア代表MFネマニャ・マティッチの放出とフランス代表MFティエムエ・バカヨコ獲得につ...
メキシコを盛り上げる！ パチューカ移籍の本田圭佑がANAとスポンサー契約,パチューカに所属する日本代表FW本田圭佑が、ANAとスポンサー契約を締結した。同選手のマネジメント事務所であるHONDA ESTILO...
仙台 2年目MF差波、J3盛岡へレンタル「新たなチャレンジ」,Ｊ１仙台は１０日、ＭＦ差波優人（２４）がＪ３盛岡へ期限付き移籍することが決定したと発表した。移籍期間は２０１７年８月１０日から２０１８...
ロッテ、13日西武戦はマリンフェスタ ジェット風船配布に花火も打ち上げ,ロッテは１３日（日）の西武戦（ＺＯＺＯマリンスタジアム・１７時試合開始）を「月１回のファン感謝デー」をテーマにした「マリンフェスタ」と...
ロッテが福浦ボブルヘッド人形発売 2000本安打のカウント付き,ロッテは１０日、「福浦和也選手ＦＵＫＵ-ＭＥＴＥＲ付きボブルヘッド人形」を１１日（金・祝）からマリーンズストアなどで発売開始すると発表...
花咲徳栄が3年連続の初戦突破...先制打の西川「今年は日本一をとる」,「全国高校野球選手権・１回戦、花咲徳栄９－０開星」（１０日、甲子園球場）　花咲徳栄が大勝し、３年連続の初戦突破を果たした。　初回に今秋...
